"n","pH_t","pH_sal","pH_DIC","pH_AT","station","date","pH_total","pH_NBS","temperature","salinity","Alkalinity","DIC","month","season"
"16",-0.0141951429946405,-0.0118102360637842,-0.00395746910191605,0.00390242698228145,"Museu",2018-06-07,8.06067129295297,8.03706,12.7,27,1842.15064584212,1787.74597861292,6,"autumn"
"17",-0.0143025578444948,-0.0209046839282789,-0.00653221634728514,0.00643437111035525,"Museu",2018-07-03,7.91056816218477,7.92142,13.2,14,1229.04482572181,1194.37670179112,7,"winter"
"18",-0.00935346798606889,-0.0151394897976846,-0.000698406060084639,0.00121006635029624,"Museu",2018-08-02,7.37806086022801,7.46604,16.7,7,844.509279405776,1463.86488846452,8,"winter"
"19",-0.00675369566370938,-0.218596742359419,-0.00112904796554679,0.00173607965933581,"Museu",2018-11-05,7.39961030678182,7.53374,21.2,0,713.416405704967,1097.31557222902,11,"spring"
"20",-0.0142796924512123,-0.0126740031663264,-0.00316788204663418,0.00305678880962453,"Museu",2018-12-04,8.42097127269646,8.49179,19.8,28,1880.69301828129,1772.76908150925,12,"spring"
"21",-0.00669243515913901,-0.0299680504353629,-0.000724713041122229,0.00134463385178446,"Museu",2019-01-07,7.92234964587779,8.09406,26.1,3,697.271079696315,1294.74989829906,1,"summer"
"22",-0.00736865031905575,-0.0243774199743144,-0.00139138733310536,0.00194658348471877,"Museu",2019-02-05,7.75041260792711,7.90026,24,4,775.566390612782,1085.13712235686,2,"summer"
"23",-0.00713459962812871,-0.0162292374506894,-0.00106935300834813,0.00158231157160609,"Museu",2019-03-07,8.31227245336158,8.49484,27,7,839.282708561814,1242.05406228885,3,"summer"
"24",-0.00713476123687978,-0.020846006852007,-0.000987709749751256,0.00155836305211036,"Museu",2019-04-03,8.28973301213809,8.45723,25.7,5,756.120719765349,1193.42372420233,4,"autumn"
"25",-0.00928337905511351,-0.00893836522651187,-0.0026368379277415,0.00306971395121014,"Museu",2019-05-07,7.64734163395436,7.74578,19.8,14,950.758855804452,1105.06356758312,5,"autumn"
"26",-0.00960607898485446,-0.0138502265379738,-0.00191249032874028,0.00237808321438109,"Museu",2019-06-06,7.70895096419016,7.7763,16.2,8,913.698165214484,1135.58174870304,6,"autumn"
"27",-0.0134115609534122,-0.0100994372220171,-0.00442524002657012,0.00444127790907842,"Museu",2019-07-02,8.46867912659761,8.42858,12.3,28,1719.53688268907,1704.60839028203,7,"winter"
"28",-0.00986012751472186,-0.0195995759510389,-0.00152523132521495,0.00204501906015724,"Museu",2019-08-06,7.70785701697719,7.75871,14,5,827.292949143677,1109.14921887715,8,"winter"
"29",-0.0152404568274175,-0.0187089465453896,-0.00400910298241979,0.00383158562592297,"Museu",2019-09-04,8.00683176825152,8.00395,13,18,1474.81216272272,1375.83742001342,9,"winter"
"30",-0.00715356019581253,-0.216606728702067,-0.000974911029889751,0.00150550585986462,"Museu",2019-10-08,7.52616742550275,7.6475,19.7,0,816.400834742316,1261.06032462479,10,"spring"
"31",-0.00685492949539726,-0.217777195223867,-0.000638260177366843,0.00119182633596659,"Museu",2019-11-06,8.15206692706018,8.27077,20.8,0,782.738293820133,1462.32426516954,11,"spring"
"32",-0.00714257634938754,-0.0209005629583062,-0.0013298375467276,0.00196202850157827,"Museu",2020-01-07,7.88943540684278,8.05575,25.7,5,681.379626367569,1005.52895399666,1,"summer"
"33",-0.00777119538423835,-0.0169832445997244,-0.0030409975346278,0.00345594405955449,"Museu",2020-02-04,7.76633412332032,7.9228,24.9,7,986.949930445713,1120.50421768784,2,"summer"
"34",-0.0146348179829099,-0.0127495897789779,-0.00206339707872454,0.00192427945719939,"Museu",2020-02-19,8.37429215469149,8.51315,24.8,30,2251.96100808563,2033.77341785716,2,"summer"
"35",-0.00886769816293686,-0.00644106462883585,-0.00174845450781636,0.00205297467979871,"Museu",2020-03-03,8.32838197495139,8.456608,23.4,20,1349.75670922687,1582.25924188642,3,"summer"
"36",-0.0143512893450581,-0.0124701290253919,-0.00260313791651599,0.00248089007414063,"Museu",2020-04-06,8.40776288771928,8.52161,23,30,2055.27085530397,1906.52464179154,4,"autumn"
"37",-0.0145462270243901,-0.0127090121234565,-0.00287522797277531,0.00275151749163097,"Museu",2020-05-04,8.61731345310227,8.65728,18,30,1910.3161616737,1777.89057578431,5,"autumn"
"38",-0.0144640351885836,-0.0119178005200348,-0.00280609236531526,0.0027062529549694,"Museu",2020-06-03,8.59377649318863,8.58308,15,34,2068.03401459019,1944.28454805728,6,"autumn"
"39",-0.014808542681734,-0.0190552155129207,-0.00570298354265377,0.00556240144303153,"Museu",2020-07-06,7.97589254025146,7.96232,12,17,1224.10843179678,1170.64244103309,7,"winter"
"40",-0.00942726018730729,-0.0170282275075357,-0.00076033793393517,0.00144127330320048,"Museu",2020-08-04,7.34811892802365,7.43109,16,6,634.496177422577,1203.73104191217,8,"winter"
"41",-0.0103021293202486,-0.0133517381171467,-0.00323288727472243,0.00363831576203496,"Museu",2020-09-03,7.67288099559804,7.71798,14,8.8,1003.83023155321,1128.36145057046,9,"winter"
"42",-0.00890739160825762,-0.0112983875504902,-0.0029609029074762,0.00339534643122086,"Museu",2020-11-03,7.99868406988584,8.1058,21,11,941.432662542928,1078.01463048577,11,"spring"
"43",-0.00848905717992473,-0.0108040498617387,-0.00259867664938256,0.00305969706958657,"Museu",2020-12-09,7.5034197437585,7.63984,23,11.5,900.003130934551,1058.31179834562,12,"spring"
"44",-0.00855425145237445,-0.00711569289662515,-0.00266961053081676,0.0029586459534602,"Museu",2021-01-07,7.72866551777781,7.9007,27,20,1317.44892806669,1455.95620980524,1,"summer"
"45",-0.0146443866640659,-0.0126910635516848,-0.00208918153129999,0.00194986510558288,"Museu",2021-02-08,7.88157121865393,8.00962,24,30.8,2216.62889681582,2001.46457165216,2,"summer"
"46",-0.0141308893914617,-0.0221914425017497,-0.00411423742623557,0.00389975015772224,"Museu",2021-03-12,7.80989884166563,7.97357,26,15.3,1310.08743890003,1209.78953900773,3,"summer"
"47",-0.0073262400131713,-0.023161064548536,-0.000188234419624359,0.000967043045823406,"Museu",2021-04-06,7.46787879787698,7.61905,24,4.2,550.16318005734,2843.15993370796,4,"autumn"
"48",-0.0133534168895276,-0.0121025524336243,-0.00403462351988047,0.00398322786981108,"Museu",2021-05-03,7.83723789603678,7.93383,21,24.6,1788.65849111318,1740.31540255624,5,"autumn"
"49",-0.0143553366349687,-0.0115587907892659,-0.00292810125395662,0.00284470676667495,"Museu",2021-06-01,7.97752307974371,7.94244,12.8,36,2081.73973232316,1975.37261392676,6,"autumn"
"50",-0.00877798867248337,-0.0203118449201775,-0.0024853874360406,0.00309865772515745,"Museu",2021-09-01,7.48811431281227,7.59236,18.6,5,695.51,866.83,9,"winter"
"51",-0.00911200888570038,-0.020002543659891,-0.00221260806761838,0.00288621191754731,"Museu",2021-10-05,7.08908227920808,7.1871,17.1,5,636.382156713282,829.970112780713,10,"spring"
"52",-0.00768754355704476,-0.0380666477443235,-0.00204672757072696,0.00274119638907456,"Museu",2021-11-03,7.42305050217375,7.55284,21,2,620.126232295821,830.618820343461,11,"spring"
"53",-0.0139551997461605,-0.0141789534582052,-0.0035444685954619,0.00341401074167212,"Museu",2021-11-10,7.57064320790239,7.71924,25.2,24,1643.69156315934,1545.86300416194,11,"spring"
"54",-0.0144410302498888,-0.0119668068481731,-0.00247377775820123,0.00236450567771666,"Museu",2021-11-17,7.50608066004864,7.56354,18.1,35,2174.36708490047,2020.92641978812,11,"spring"
"55",-0.0144860844830726,-0.012116595276437,-0.00218465444710421,0.00206351841225627,"Museu",2021-11-24,7.77996382545805,7.87298,21.6,35,2251.68607490138,2061.21586549376,11,"spring"
"56",-0.0142629692476497,-0.0118845072608376,-0.00232739734928242,0.00221327630298771,"Museu",2021-12-01,7.81570949731779,7.93974,24,35,2196.95075823319,2029.01364590428,12,"spring"
"57",-0.0127437339370086,-0.0155448398102917,-0.0061615949559364,0.00613325262116731,"Museu",2021-12-08,7.74959859562703,7.8637,21.8,18,1227.79154159173,1205.71056802013,12,"spring"
"58",-0.00894824177373014,-0.0147002900057172,-0.00454643944728996,0.0050417993140258,"Museu",2021-12-15,7.47094665905065,7.58828,20.5,8.5,799.512836303522,885.03301826654,12,"spring"
"59",-0.014263101965437,-0.0197123889020247,-0.00390917388364782,0.00371935734707484,"Museu",2021-12-22,7.90019549650053,8.03966,24,17,1425.29626005959,1322.94893583389,12,"spring"
"60",-0.0138433380854853,-0.014814514829483,-0.00403525739372276,0.00390088842864907,"Museu",2021-12-29,8.01324407049349,8.16042,25,23,1462.58355953582,1379.76683054294,12,"spring"
"61",-0.0144605059346574,-0.0122430342110608,-0.0021180815179287,0.0019876146339184,"Museu",2022-01-05,7.9009122126899,8.03132,24.5,35,2187.60719690854,1982.93503712637,1,"summer"
"62",-0.0135810642477757,-0.012368971892436,-0.00387888501912069,0.00379517011608702,"Museu",2022-01-07,7.8757410626069,7.99458,23,27,1659.83368739107,1591.52600579361,1,"summer"
"63",-0.0139822576625617,-0.0199782555077082,-0.00474522835373381,0.00455535162342185,"Museu",2022-01-12,7.95447428815364,8.10216,24.7,17,1216.705,1138.695,1,"summer"
"64",-0.0144695156385046,-0.0126878226705975,-0.00222555699954489,0.00208458220084477,"Museu",2022-01-19,7.85652049249575,8.0163,26.5,31,2086.49068663425,1889.44787670261,1,"summer"
"65",-0.014341513161245,-0.0121494322689907,-0.00219614361183598,0.0020693685793705,"Museu",2022-01-26,7.78542357391888,7.94374,26.6,34,2175.08111251261,1984.30409596103,1,"summer"
"66",-0.0146690647031843,-0.01278437116093,-0.00192433450637875,0.00176805789628891,"Museu",2022-02-03,7.89309330852881,8.04414,26,34,2091.79489175305,1838.54822502838,2,"summer"
"67",-0.0147326155152046,-0.0126731980528773,-0.00179006588216192,0.00163982674903781,"Museu",2022-02-09,7.88416972314891,8.0016,23.6,36,2225.11404733511,1948.95304105184,2,"summer"
"68",-0.014411137436479,-0.0122315707568749,-0.00195046624958152,0.00181474429055803,"Museu",2022-02-16,7.68949589089851,7.88392,29.7,36,2212.26155031648,1981.46818837495,2,"summer"
"69",-0.0146879873190043,-0.0124861398717422,-0.00224337797537196,0.00211307667023851,"Museu",2022-02-23,7.99444136558134,8.05474,19.2,33,2170.33792908907,1978.87675558078,2,"summer"
"70",-0.0144343216922288,-0.0121850640751946,-0.00204473353689969,0.00191484524031308,"Museu",2022-03-03,7.85893879261791,8.00286,25.6,36,2222.76795660949,2008.94715498487,3,"summer"
"71",-0.0147211762128597,-0.0126030334732072,-0.00177014629637347,0.00162284411422186,"Museu",2022-03-09,7.89029207577745,8.01304,24,36,2270.86281648473,1993.15408342792,3,"summer"
"72",-0.0149921900726088,-0.0131549602611621,-0.00143954785911625,0.0012623267340086,"Museu",2022-03-16,8.0215488447748,8.14976,24.5,37,2285.68190095476,1882.38113795434,3,"summer"
